Id,Timestamp,HeartRate,Steps,Calories,Distance
1,2025-01-01T00:00:00Z,70,27,1.6970603657207823,0.023415642056686697
1,2025-01-01T00:01:00Z,102.62304399487788,23,1.7708536646281998,0.01786937741954258
1,2025-01-01T00:02:00Z,117.92126130588592,20,2.0036847427754085,0.015686429504737896
1,2025-01-01T00:03:00Z,125.09398798015566,32,1.682227859777532,0.024206056165913144
1,2025-01-01T00:04:00Z,122.4660601329268,24,1.6631494157167854,0.005917722895476122
1,2025-01-01T00:05:00Z,126.28919535494417,27,1.7486722811843052,0.012693457830100001
1,2025-01-01T00:06:00Z,128.03005891193425,27,2.189038692252993,0.019447654341969003
1,2025-01-01T00:07:00Z,127.32592970244957,12,1.4520194709662542,0.006400025620199405
1,2025-01-01T00:08:00Z,129.47287509782075,24,1.9270207043939844,0.016155368122963948
1,2025-01-01T00:09:00Z,122.30802224901711,12,1.2031081983241005,0.0053454620291174095
1,2025-01-01T00:10:00Z,126.8703375959076,21,1.6711997200400506,0.01499471350725667
1,2025-01-01T00:11:00Z,125.41238244558046,18,1.266343791116141,0.016564090129443588
1,2025-01-01T00:12:00Z,129.1500417531981,29,1.783710759477331,0.026478239417011037
1,2025-01-01T00:13:00Z,128.15454216979825,17,1.8251455039583955,0.016814496528586582
1,2025-01-01T00:14:00Z,122.69109091859326,23,1.8258577632110542,0.01884916443289541
1,2025-01-01T00:15:00Z,127.10919291402764,23,1.6165530714518048,0.019326152824328046
1,2025-01-01T00:16:00Z,130.02629269651797,29,1.7245415881051072,0.02971271316022072
1,2025-01-01T00:17:00Z,128.32690847112326,27,1.9941457136581293,0.025204390814334315
1,2025-01-01T00:18:00Z,127.2777966064139,21,1.7547036323999086,0.012032383211138281
1,2025-01-01T00:19:00Z,126.8673457083876,25,1.9036357475669181,0.022318837942700835
1,2025-01-01T00:20:00Z,127.01055331251297,17,1.8125414019609858,0.014889607187660156
1,2025-01-01T00:21:00Z,127.47099696476344,22,1.4211342209678943,0.020659984490201934
1,2025-01-01T00:22:00Z,130.71973123425025,21,1.816669265714232,0.020908865552541248
1,2025-01-01T00:23:00Z,127.13828785822935,20,1.730069712145261,0.022955552281950002
1,2025-01-01T00:24:00Z,127.329109035597,18,1.313652263829246,0.007103930002488022
1,2025-01-01T00:25:00Z,126.8581372241188,26,2.020193075119699,0.026023755435838628
1,2025-01-01T00:26:00Z,128.98455684832172,32,1.8266453182484366,0.026127569062280347
1,2025-01-01T00:27:00Z,128.84209332242605,22,1.6976386069002996,0.01819580478998503
1,2025-01-01T00:28:00Z,125.69884850138338,23,1.5929129528306665,0.015878914346560483
1,2025-01-01T00:29:00Z,124.32519178831225,21,1.5274699484244398,0.030309455001723995
1,2025-01-01T00:30:00Z,127.21200066655014,24,1.4212749865367418,0.01184782129281602
1,2025-01-01T00:31:00Z,125.97865712037608,18,1.5396354771390584,0.012258705592870924
1,2025-01-01T00:32:00Z,126.72456974903513,13,1.145050409928003,0.011297582205589692
1,2025-01-01T00:33:00Z,130.44199636046994,21,1.6300125768130702,0.022414448216899835
1,2025-01-01T00:34:00Z,127.88153901910236,18,1.5165360879499648,0.02040749200459851
1,2025-01-01T00:35:00Z,127.65140149978171,23,1.6727785403525821,0.013961604910467842
1,2025-01-01T00:36:00Z,127.46371506658288,23,1.6072262301884153,0.023966930116841013
1,2025-01-01T00:37:00Z,128.05046058298902,22,1.7993725153104205,0.01231815793414546
1,2025-01-01T00:38:00Z,126.28953964215,16,1.7134339098471363,0.011431771493129596
1,2025-01-01T00:39:00Z,125.67778516117414,18,1.5384475932445347,0.010398589110241704
1,2025-01-01T00:40:00Z,129.16530634552183,30,1.8648948259515745,0.01864108807924662
